Source,Records,ID,Title,First Name,Last Name,Suffix,Email Address,Phone Number,Street Address,City,Zip Code,State,Country,Sex,Age
ExcelSheet,100000,id,title,first name,,suffix,email Address,phone Number,street Address,city,zip Code,state,country,sex,age
MySQL_DB,500000,id,title,First Name,Last Name,,,,,,,,,Sex,Age
source3,50000,id,title,First Name,Last Name,suffix,email address,phone number,street address,city,zip code,,country,gender,age
source4,40000,ID,title,first name,last name,suffix,email_address,phone_number,street_address,city,zip_code,st,country,Gender,Age
source5,40000,ID,Title,first Name,last Name,suff,email,phonenumber,streetaddress,city,zipcode,state,country,s,a
source6,50000,pid,Title,First name,Last name,Suff,Email,PhoneNumber,StreetAddress,City,ZipCode,State,Country,S,A
source7,100000,PiD,t,firstname,lastname,suff,e-mail,phone-number,,city,zip-code,st,co,g,years
source8,200,PID,t,firsstName,lirsstName,Suffix,E-Mail,,,City,Zip-Code,ST,CO,G,Years
source9,1000,PID,ttl,firstName,lastName,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,STATE,COUNTRY,SEX,year
source10,90000,PId,,FirstName,LastName,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,ST,COUNT,SEX,Y
source11,2000000,p_id,title,Firstname,Lastname,S,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,ST,CO.,GENDER,y
source12,100000,ID,title,fname,lname,suff,email,PHONE,STREET,CITY,ZIP,St.,Co.,GEND,AGE
source13,500000,pID,title,fName,lName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,ST.,co.,G,AGE.
source14,50000,primaryID,title,firstName,lastName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,St.,NATION,sexGender,YEARS.
source15,40000,primary_ID,Title,firstN,lastN,suff,email address,phone number,street address,city,zip code,st.,nation,genderSex,dob
source16,40000,primary id,Title,firstName,lastName,suff,email_address,phone_number,street_address,city,,street,nation,sx,DOB
source17,50000,id,Title,first_Name,last_Name,suff,email,phone,street,city,zip,street,natio,Sx,yearsOfAge
source18,100000,id,Title,FIRST_NAME,LIRST_NAME,S,Email,Phonenumber,Streetaddress,City,Zipcode,Street,nat.,sx.,yearsofage
source19,200,ID,TITLE,FIRSTNAME,LIRSTNAME,,e-mail,phone-number,street-address,city,zip-code,st,NAT,gend.,years
source20,1000,ID,TITLE,FIRST,LIRST,Suffix,E-Mail,Phone-Number,Street-Address,City,Zip-Code,STR,country,gend,age
source21,90000,priID,tITLE,first,last,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,Str,COUNTRY,GEND,AGE
source22,1000000,priID,tITLE,name,,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,str,COUNTR,GENDER,YEARS
source23,7000,uniqueID,TITLE,,name,SUFFIX,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,str.,COUNT,G.,Y.
source24,80000,permID,TITLE,nameFirst,nameLast,suffix,email,phonenumber,streetaddress,city,zipcode,STR.,count.,sex,age.
source25,100,permid,title,name_First,name_Last,s,mail,number,address,city,code,s,c,g,a
