Source,Records,ID,Title,FirstName,LastName,Suffix,EmailAddress,PhoneNumber,StreetAddress,City,ZipCode,State,Country,Sex,Age,key,unified
source11,2000000,p_id,title,Firstname,Lastname,S,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,ST,CO.,GENDER,y,21,14
source22,1000000,priID,tITLE,name,,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,str,COUNTR,GENDER,YEARS,10,13
source13,500000,pID,title,fName,lName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,ST.,co.,G,AGE.,19,14
MySQL_DB,500000,id,title,First Name,Last Name,,,,,,,,,Sex,Age,23,6
source7,100000,PiD,t,firstname,lastname,suff,e-mail,phone-number,,city,zip-code,st,co,g,years,2,14
source18,100000,id,Title,FIRST_NAME,LIRST_NAME,S,Email,Phonenumber,Streetaddress,City,Zipcode,Street,nat.,sx.,yearsofage,14,14
source12,100000,ID,title,fname,lname,suff,email,PHONE,STREET,CITY,ZIP,St.,Co.,GEND,AGE,20,14
ExcelSheet,100000,id,title,first name,,suffix,email Address,phone Number,street Address,city,zip Code,state,country,sex,age,24,14
source21,90000,priID,tITLE,first,last,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,Str,COUNTRY,GEND,AGE,11,14
source10,90000,PId,,FirstName,LastName,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,ST,COUNT,SEX,Y,22,14
source24,80000,permID,TITLE,nameFirst,nameLast,suffix,email,phonenumber,streetaddress,city,zipcode,STR.,count.,sex,age.,8,14
source6,50000,pid,Title,First name,Last name,Suff,Email,PhoneNumber,StreetAddress,City,ZipCode,State,Country,S,A,3,14
source3,50000,id,title,First Name,Last Name,suffix,email address,phone number,street address,city,zip code,,country,gender,age,6,14
source17,50000,id,Title,first_Name,last_Name,suff,email,phone,street,city,zip,street,natio,Sx,yearsOfAge,15,14
source14,50000,primaryID,title,firstName,lastName,Suff,Email Address,Phone Number,Street Address,City,Zip Code,St.,NATION,sexGender,YEARS.,18,14
source5,40000,ID,Title,first Name,last Name,suff,email,phonenumber,streetaddress,city,zipcode,state,country,s,a,4,14
source4,40000,ID,title,first name,last name,suffix,email_address,phone_number,street_address,city,zip_code,st,country,Gender,Age,5,14
source16,40000,primary id,Title,firstName,lastName,suff,email_address,phone_number,street_address,city,,street,nation,sx,DOB,16,14
source15,40000,primary_ID,Title,firstN,lastN,suff,email address,phone number,street address,city,zip code,st.,nation,genderSex,dob,17,14
source23,7000,uniqueID,TITLE,,name,SUFFIX,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,str.,COUNT,G.,Y.,9,13
source9,1000,PID,ttl,firstName,lastName,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,STATE,COUNTRY,SEX,year,0,14
source20,1000,ID,TITLE,FIRST,LIRST,Suffix,E-Mail,Phone-Number,Street-Address,City,Zip-Code,STR,country,gend,age,12,14
source8,200,PID,t,firsstName,lirsstName,Suffix,E-Mail,,,City,Zip-Code,ST,CO,G,Years,1,12
source19,200,ID,TITLE,FIRSTNAME,LIRSTNAME,,e-mail,phone-number,street-address,city,zip-code,st,NAT,gend.,years,13,14
source25,100,permid,title,name_First,name_Last,s,mail,number,address,city,code,s,c,g,a,7,14
