Source,Records,ID,Title,First Name,Last Name,Suffix,Email Address,Phone Number,Street Address,City,Zip Code,State,Country,Sex,Age
ExcelSheet,100000,id,title,first name,,suffix,email Address,phone Number,street Address,city,zip Code,state,country,sex,age
MySQL_DB,500000,id,title,First Name,Last Name,,,,,,,,,Sex,Age
source3,50000,id,title,First Name,Last Name,suffix,email address,phone number,street address,city,zip code,,country,gender,age
source4,40000,ID,title,first name,last name,suffix,email_address,phone_number,street_address,city,zip_code,st,country,Gender,Age
source5,40000,ID,Title,first Name,last Name,suff,email,phonenumber,streetaddress,city,zipcode,state,country,s,a
source6,50000,pid,Title,First name,Last name,Suff,Email,PhoneNumber,StreetAddress,City,ZipCode,State,Country,S,A
source7,100000,PiD,t,firstname,lastname,suff,e-mail,phone-number,,city,zip-code,st,co,g,years
source8,200,PID,t,firsstName,lirsstName,Suffix,E-Mail,,,City,Zip-Code,ST,CO,G,Years
source9,1000,PID,ttl,firstName,lastName,SUFFIX,EMAIL,PHONENUMBER,STREETADDRESS,CITY,ZIPCODE,STATE,COUNTRY,SEX,year
source10,90000,PId,,FirstName,LastName,SUFFIX,E-MAIL,PHONE-NUMBER,STREET-ADDRESS,CITY,ZIP-CODE,ST,COUNT,SEX,Y
source11,2000000,p_id,title,Firstname,Lastname,S,E_MAIL,PHONE_NUMBER,STREET_ADDRESS,CITY,ZIP_CODE,ST,CO.,GENDER,y
source12,100000,ID,title,fname,lname,suff,email,PHONE,STREET,CITY,ZIP,St.,Co.,GEND,AGE
